STARTUP_NAME,STARTUP_CONTACT,STARTUP_EMAIL,STARTUP_WEBSITE,STARTUP_ADDRESS,STARTUP_SEGMENT,STARTUP_METODOLOGY,STARTUP_DESCRIPTION,STARTUP_TAGS
Porang,(81)98835-1065,orengo@porang.com.br,www.porang.com.br,"AV BERNARDO VIEIRA DE MELO, 1243 - SL 15 Galeria praia centerJaboatão dos Guararapes/AC. CEP: 54400-000.",Diversos Mercados,IoT,"Somos uma fábrica de software que desenvolve soluções de IA com dispositivos IOT. Desenvolvemos sistemas de mitigação de riscos de inundações, delizamentos de massa e soluções customizadas de IOT para , mercados diversificados, tais como Samrt Cities, Saúde, Indústria 4.0, etc.","I.A.; ,DESENVOLVIMENTO MOBILE; ,produtividade; ,saas; ,telecomunicações; ,Geoloc; ,SMART MANUFACTURING; ,Inteligência Artificial; ,SAÚDE PÚBLICA; ,shopping center; ,iot; ,sensores; ,monitoramento; ,dashboards; ,visão computacional; ,infraestrutura em nuvem; ,pesquisa; ,Desenvolvimento de Software ; ,tecnologia; ,Machine Learning; ,Imagem; ,Soluções em Tecnologia; ,predicao; ,telemetria; ,reconhecimento de voz; ,logistica; ,desenvolvimento de hardware; ,software para aplicações em saúde; ,pesquisa cientifica ; ,Cidades Inteligentes; ,Tecnologia Inovadora; ,5G; ,JOVENS DE COMUNIDADE; "
PMETECH,(87)99953-9335,bruno.dantas@pmetech.com.br,pmetech.com.br,"R FRANCISCO MODESTO FILHO, 75 - SALA 03 CXPST 13PETROLINA/PE. CEP: 56304-080.",Diversos Mercados,Alocação Profissionais,"Desenvolvimento de aplicativos personalizados: criação de aplicativos únicos que atendam às necessidades específicas de uma empresa ou usuário.

Desenvolvimento de aplicativos para plataformas móveis: criação de aplicativos para dispositivos móveis, como smartphones e tablets, com compatibilidade com sistemas operacionais como iOS e Android.

Integração de aplicativos com outras plataformas: conexão de aplicativos com outras ferramentas e sistemas, como CRM, ERP, entre outros, para melhorar a eficiência de uma empresa.

Manutenção e suporte: prestação de serviços de suporte técnico e correção de bugs para aplicativos já existentes.

Consultoria e estratégia: assessoria para ajudar as empresas a definir suas estratégias de tecnologia e escolher as soluções de desenvolvimento de aplicativos mais adequadas.","DESENVOLVIMENTO WEB; ,consultoria; ,eficiência; ,gestão; "
PLANA,(87)3861-2073,visualprosistemas@hotmail.com,planasistemas.com.br,"Travessa Gregório Ramos, 203 - Sala 101Petrolina/PE. CEP: 56304-001.",Diversos Mercados,ERP,"Somos uma empresa de tecnologia fundada em 2002 como Visual Pro Tecnologia de Sistemas e, em 2005 passamos a nos chamar Plana Sistemas. Estamos situados no Vale do São Francisco, na cidade de Petrolina-PE.","DESENVOLVIMENTO MOBILE; ,DESENVOLVIMENTO WEB; ,erp; ,nota fiscal; ,e-commerce; ,lojas virtuais; ,marketplaces; ,compra online; ,venda online; ,loja virtual; ,negócios; ,vendas; ,compliance; ,eficiência; ,produtividade; ,Gestão escolar; ,sistema de gestão; ,nuvem; ,gestão; ,AUTOMAÇÃO; ,AUTOMAÇÃO COMERCIAL; ,SPED; "
PKSoftware-IOTSCHOOL,(81)99708-0728,janaelmartins@gmail.com,https://sga.softexrecife.org.br/,"AV. Felix Sobrinho, 78 - Gravatá/PE. CEP: 55641-245.",FinTech,Client Attendance,"É especializada em fornecer soluções de pagamento por meio de boletos bancários. Com uma plataforma robusta e segura,  permite que as empresas emitem e gerem boletos bancários eletrônicos com facilidade, além de fornecer relatórios detalhados e análise de dados para acompanhar o desempenho dos pagamentos. A empresa também oferece suporte ao cliente 24/7 para garantir que todas as transações sejam processadas sem problemas. Além disso,  também oferece integração com outros sistemas de pagamento, como PIX, cartões de crédito e débito, para oferecer aos seus clientes uma ampla variedade de opções de pagamento. Com uma equipe de especialistas em pagamentos e tecnologia,  é a escolha ideal para empresas que buscam uma solução confiável e eficiente para pagamentos por meio principalmente via PIX e de boletos bancários.",
Pitang,(81)3134-5200,contato@pitang.com,www.pitang.com,"Av. Cais do Apolo, 222 - 13º AndarRecife/PE. CEP: 50030-230.",Diversos Mercados,Transformação Digital,"Com mais de 19 anos no mercado, a Pitang é uma empresa de Tecnologia da Informação e Comunicação localizada no Porto Digital, um dos maiores parques tecnológicos do Brasil.

Desenvolvemos serviços e soluções de alta qualidade, focando nas demandas do mercado, através do desenvolvimento de projetos exclusivos que dão suporte à transformação digital dos nossos clientes. Não focamos apenas da adoção de novas tecnologias, mas também em novas maneiras de tornar o negócio do nosso cliente mais eficiente e competitivo. 

Algumas competências e tecnologias que atuamos: Soluções Digitais​, Blockchain, Computação em Nuvem​, Computação Cognitiva, Plataformas de Experiências Digitais​, Analytics​, Aplicativos Móveis​, UX​, Agilidade​, DevOps​ e Testes.

Inovação está no nosso DNA. Assim, desenvolvemos o Pitang Labs, uma estrutura especializada e focada em pesquisar, testar e implementar tendências tecnológicas modernas e disruptivas. No Labs, realizamos experimentos a partir de problemas reais e, através de provas de conceito, mostramos a viabilidade da tecnologia, o que fortalece ainda mais a confiança do nosso cliente.

Vamos conversar? Acesse o nosso site e fale conosco!","I.A.; ,DESENVOLVIMENTO WEB; ,DESENVOLVIMENTO MOBILE; ,SCRUM; ,AGILE; ,consultoria; ,negócios; ,eficiência; ,produtividade; ,lean management; ,sistema de gestão; ,GestãoÁgil; ,Design Thinking; ,Transformação Figital; ,AUTOMAÇÃO; ,TRANSFORMAÇÃO DIGITAL; ,P&D; ,TI; ,Agile Teams; ,Remote Squad; ,Inteligência Artificial; ,experiência do cliente; ,B2B; ,gestão publica; ,Cloud; ,Engenharia de Software; "
PGF TELECOM,(81)3138-8700,pgftelecomcaruaru@gmail.com,https://pgftelecom.com.br/,"AVENIDA PROFESSOR JOSÉ LEÃO, 339 - SALA 01CARUARU/PE. CEP: 55012-610.",Diversos Mercados,Conectividade,"Somos um provedor de internet, onde atuamos nas cidades de Recife e Caruaru. Atendemos clientes PJ e PF, 100% fibra óptica, temos 4 pontos de escritórios em Caruaru em bairros popular.","telecom; ,internet; ,link; ,wifi; ,telecomunicações; ,conectividade; ,provedor de internet; ,operadora de internet; ,fibra óptica; ,banda larga; "
PEPPER - AGENCIA E VITRINE DIGITAL,(11)97178-0187,geraldo@pepperweb.com.br,pepperweb.com.br,"Rua João Eugênio de Lima, 143 - Sala 01Recife/PE. CEP: 51030-360.",EdTech,Transformação Digital,"Transforme sua Estratégia de Marketing Digital!

1. Visão Geral:
O P360 (produto da PepperWeb) é uma plataforma inovadora de gestão de marketing digital projetada para transformar a forma como as empresas abordam suas estratégias online. Integrando ferramentas avançadas, inteligência artificial (P-Ray), e automação eficiente, oferecemos soluções abrangentes para impulsionar o desempenho e a eficácia das campanhas.

2. Proposta de Valor:
2.1) Automatização Inteligente: Utilize o P-Ray para automatizar processos, tornando suas campanhas mais eficientes.
2.2) Gestão Integrada: Centralize todas as atividades de marketing, desde funis de vendas até produção de conteúdo, em uma única plataforma.
2.3) Resultados Mensuráveis: Acompanhe o desempenho em tempo real, usando métricas-chave para otimizar suas estratégias continuamente.

3. Funcionalidades Principais:
3.1) Funil de Vendas Inteligente: Otimize cada etapa do funil, desde a atração até a conversão.
3.2) Automatização de Tráfego: Gerencie campanhas de tráfego pago de forma eficaz.
3.3) Produção de Conteúdo: Crie, agende e analise o impacto do seu conteúdo em um único ambiente.
3.4) P-Ray - Inteligência Artificial: Potencialize suas estratégias com insights preditivos e automatização inteligente.

4. Assessoria de marketing digital com a agência PepperWeb
Além do nosso produto P360, você pode ter integrado ao seu negócio uma agência de assessoria de marketing digital cuidado do seu funil de vendas com estratégias eficientes. 

5. Contato:
Para mais informações e consultas, entre em contato conosco em (11) 97178.0187. Estamos ansiosos para potencializar o sucesso da sua empresa com o P360.","I.A.; ,DESENVOLVIMENTO WEB; ,DESENVOLVIMENTO MOBILE; ,venda online; ,produtividade; ,saas; ,internet; ,Design; ,GestãoÁgil; ,AUTOMAÇÃO; ,TRANSFORMAÇÃO DIGITAL; ,Inteligência Artificial; ,marketing; ,vendas online; ,planejamento estrategico; ,dashboards; ,WEB; ,APP; ,web design; ,Desenvolvimento de Software ; ,Video; ,Instagram; ,Redes sociais; ,metaads; ,Criação de Conteúdo; ,Produção de Conteúdo; ,ia generativa; ,chatbot; ,CRM; "
PEGASUS TECCHNOLOGY,(81)3061-4000,amonteiro@pegasustec.com.br,https://pegasustec.com.br/,"R DOM PEDRO HENRIQUE, 121 - Recife/PE. CEP: 52010-075.",Diversos Mercados,Transformação Digital,"A Empresa:

A empresa é reconhecida no segmento de visão computacional em função da criação e desenvolvimento de produtos que utilizam o reconhecimento de padrões em imagens.

A Missão:

Criar, desenvolver e comercializar produtos para a leitura de dados e padrões em imagens de vídeo, que atendam necessidades do mercado, tenham preços competitivos, e tragam aumento na produtividade, segurança e gestão de nossos clientes.

A Visão:

Ser a maior empresa brasileira no segmento de visão computacional através do uso satisfatório de nossos produtos em várias empresas no Brasil e no exterior, e manter parcerias com fabricantes de câmeras, distribuidoras, integradores de solução, entre outras.","ANÁLISE DE DADOS; ,negócios; ,vendas; "
PASSARELLI,(81)98161-0498,diogo@passarelliautomacao.com.br,www.passarelliautomacao.com.br,"Rua do Bom Jesus, 35 - Recife/PE. CEP: 50030-170.",IndusTech,Gestão de Ativos,"A Passarelli Automação é especializada em sistemas de inspeção visual, rastreabilidade de produção e automação industrial.
Sistema de rastreabilidade indoor, WMS para gerenciamento de estoque de baixo custo, sem a necessidade de infra estrutura ou sensoriamento como RFID ou Beacons, apresentamos a localização da produção com inventário automático da produção em tempo real, auxiliando os gestores na tomada de decisão.
O sistema Traceability não necessita de nenhuma infra estrutura física  de instalação como servidores locais, rede WIFI, sensores como beacons ou RFID, identificamos e localizamos os produtos com Qr Code utilizando celulares para registrar as operações de movimentação, é necessário apenas o acesso a rede móvel com internet para funcionamento, utilizamos as operações e interações já existentes com os produtos e realizando os registros necessários, permitindo o monitoramento de estoques ou da produção com baixo custo gerando os inventários automaticamente. 
Por mais automatizado que seja um processo ou indústria eles sempre irão depender de pessoas, e acreditamos que as pessoas podem colaborar com suas empresas a gerenciar, seus produtos, processos e até mesmo pessoas.
","visão computacional; ,Inteligência Artificial; ,ANÁLISE DE DADOS; ,gestão; ,TRANSFORMAÇÃO DIGITAL; ,iot; ,sensores; ,monitoramento; ,business inteligence; ,dashboards; ,Imagem; ,rastreabilidade; ,machine vision; "
PARTEC,(81)3031-1573,geraldovandrade@gmail.com,http://partecweb.com.br/,"Av. Rui Barbosa, 472 - Recife /PE. CEP: 52011-040.",CommunityTech,Client Attendance,"A Partec é uma empresa de Tecnologia da Informação (TI) com 13 anos de experiência sediada em Recife, Brasil. A Partec desenvolveu projetos que vão desde gerenciamento eletrônico de documentos até aplicações empresariais baseadas em reconhecimento de voz.

Em 2007, alguns graduados do Centro de Informática da Universidade Federal de Pernambuco ingressaram na Partec com o objetivo de pesquisar e desenvolver aplicações inovadoras em sistemas convergentes (Web, móvel e televisão digital). Uma nova unidade de negócios (codinome ""Tangerina"") foi selecionada em 2007, por meio de edital da Agência de Inovação do Governo Federal Brasileiro (FINEP), para receber apoio financeiro.

A equipe tem trabalhado como um laboratório de P&D, projetando diversos conceitos de produtos, especialmente aplicações de TV interativa. Junto com outras empresas brasileiras, vem desenvolvendo alguns testes ou produtos completos, como a Globo.com (a filial de mídia web das Organizações Globo - principal emissora brasileira), o Banco do Brasil (maior organização bancária brasileira) e a Microsoft Brasil.

A equipe também chegou à segunda rodada do Deutsche Telekom Interactive TV Award, uma competição internacional que visa dar vida aos conceitos do futuro da televisão interativa por meio da plataforma Deutsche Telekom IPTV. A competição ainda tem duas fases adicionais, nas quais a equipa poderá ser premiada com 300 mil euros adicionais e, mais importante, ter a sua candidatura impactando positivamente a vida de milhões de cidadãos alemães.","WEB; ,DESENVOLVIMENTO WEB; ,TI; ,gerenciamento eletrônico; ,reconhecimento de voz; "
PanOps Solutions,(81)98220-0685,contato@panops.com.br,www.panops.com.br,"Tv. do Amorim, 66 - CXPST 11Recife/PE. CEP: 50030-070.",Diversos Mercados,IntelArtif/MachLea,Somos uma empresa de desenvolvimento de software como foco em inteligência artificial e machine learning através de imagens.,"I.A.; ,Cloud; ,B.I.; ,ANÁLISE DE DADOS; ,Ciência de dados; ,Machine Learning; ,Videomonitoramento; ,Video; ,Imagem; "
Pague Bem Brasil,(81)98188-1110,contato@paguebembrasil.com.br,https://www.paguebembrasil.com.br,"Av.A ,4165, 4165 - Sala 203Cabo de santo agostinho/PE. CEP: 54.522-005.",FinTech,Cloud/Datacenter,"Seu banco atual se preocupa com os boletos não pagos pelo seu cliente? Ele apenas envia meros disparos de e-mail e SMS após o boleto vencido? Você precisa conhecer a Pague Bem Brasil e ir muito além da cobrança. Somos um hub de soluções digitais e Cash Manegement focados no combate e prevenção a inadimplência entre os credores e devedores. Banco, régua de cobrança, cobrança de vencidos em até 5 anos, plataforma multicanal personalizada (e-mail, SMS e voz), CRM financeiro com registro de histórico em uma timeline, gestão de documentos e ativos digitais e plataforma de atração e aquecimento de leads. Tudo em um único lugar.

Como fazemos?
Através de uma metodologia inovadora, atraímos os pagadores para os canais digitais, simplificando o processo de cobrança dos credores e criando meios práticos para os devedores efetuarem os pagamentos, além de usarmos nossa marca e comunidade para impulsionar o rápido retorno do seu cliente inadimplente.

Aonde queremos chegar?
Engajar o ""Movimento Pague Bem Brasil"" para nos tornar uma referência na mudança do comportamento do pagador de contas brasileiro.","negócios; ,fintech; ,cobranças; ,Inovação Aberta; "
Pague Bem Brasil,(81)98188-1110,contato@paguebembrasil.com.br,www.paguebembrasil.com.br,"Rua do brum, 455 - Sala 203RECIFE/PE. CEP: 50030-260.",FinTech,SaaS ,Plataforma de converte clientes inadimplentes em pagantes antes mesmo das empresas precisarem de um escritório de cobrança terceirizado. Através de uma metodologia própria ajudamos pequenos empresarios e dptos financeiros das empresas a melhorarem seus recebimentos em dia melhorando assim a liquidez e fluxo de caixa.,"cobranças; ,fintech; ,inadimplencia; "
Sião,(81)99142-9739,helio@siaoprivacy.com,https://www.siao.seg.br/landing,"Rua da Guia, 142 - 501Recife/PE. CEP: 52061-055.",LawTech,LGPD,"O Sião é uma plataforma intuitiva de auditoria, avaliação e gerenciamento de riscos relacionados à proteção e privacidade de dados pessoais de sua organização, cujo objetivo é oferecer um serviço de consultoria personalizado e eficiente, assertivo, com valor agregado e efetiva diminuição de custo.
","governança; ,lgpd; ,compliance; "
SGP+,(81)99962-0870,contato@sgpplus.ca,www.sgpar.app,"Av. Barbosa LIma, 149 - Sala 416Recife/PE. CEP: 50030-917.",ConstruTech,Gestão de Ativos,"A SGP+ tem como objetivo levar BIM & Realidade Aumentada para o canteiro com Simplicidade e credibilidade.
","AGILE; ,METAVERSO; ,B.I.; ,negócios; ,governança; ,produtividade; ,lean management; ,gestão; ,GestãoÁgil; ,Transformação Figital; ,Gestão de Projetos; ,Inovação Aberta; "
SENFIO,(81)98266-0889,comercial@senfio.com,https://www.senfio.com/,"Rua Uriel de Holanda, 11 - RECIFE/PE. CEP: 52131-150.",IndusTech,Client Attendance,"Somos uma empresa carioca com sede em Recife. Fazemos parte do ecossistema do Porto Digital e Parqtel. Somos detentores de produtos próprios com tecnologia 100% nacional e nossos pontos fortes são: Engenharia, Tecnologia e Design.

Entregamos dispositivos únicos capazes de prover segurança, redução de custos e aumento de faturamento. Tornamos rotinas manuais em processos automáticos a partir de dados coletados automaticamente.

E por que agir assim?

Porque gostamos de ser parte da solução!","Integração de Segurança; ,Solução de Engenharia; ,Design; "
SEIDOR,(11)98582-8582,delano.lins@seidor.com.br,www.seidor.com.br,"Av.Engenheiro Luiz Carlos Berrini, 1461 - São Paulo/SP. CEP: 04571-903.",AgriTech,Alocação Profissionais,"A SEIDOR é uma multinacional de consultoria em tecnologia que oferece aos seus clientes um portfólio completo de soluções e serviços de inovação, customer experience, ERP, analytics, employee experience, cloud e cibersegurança, idealizadas para que as organizações ultrapassem os seus desafios e alcancem os seus objetivos.","B.I.; ,I.A.; ,DESENVOLVIMENTO WEB; ,DESENVOLVIMENTO MOBILE; ,ANÁLISE DE DADOS; ,e-commerce; ,consultoria; ,negócios; ,vendas; ,compliance; ,eficiência; ,produtividade; ,erp; ,saas; ,nuvem; "
Scriptcase-NETMAKE,(81)4062-9300,comercial@scriptcase.com.br,www.scriptcase.com.br,"Av.Presidente kennedy, 1001 - Olinda/PE. CEP: 52060-592.",AgriTech,Alocação Profissionais,"Nascemos da vontade de romper com um mercado tradicional e promover inovação no desenvolvimento de sistemas.

Desde dos anos 2000 entregamos tecnologia para acelerar negócios de empreendedores até grandes empresas.
Ajudamos a desenvolver qualquer sistema web de forma rápida, segura e eficiente. Viemos para agregar valor e entregar uma nova experiência de desenvolvimento, priorizando as necessidades reais do cliente e não só o que o mercado oferece.

Somos uma equipe inovadora, com uma grande gama de especialistas, garantindo um produto de alta qualidade. Com uma cultura internacional e inclusiva, atendemos os mais altos níveis de exigência do mercado internacional de software. Desenvolvido no Brasil, o Scriptcase se tornou uma solução global de referência, atendendo a mais de 45 mil clientes.

Queremos possibilitar que milhões de empresas tenham sucesso no mundo digital!",
SALVUS,(81)99100-7320,contato@salvus.me,www.salvus.me,"Rua Marquês de Valença, 231 - Recife/PE. CEP: 51021-500.",HealthTech,IoT,"Em 2016, nasce a Salvus, visando solucionar problemas complexos com soluções de fácil usabilidade e tecnologias emergentes como big data, inteligência artificial e IoT; e para impactar positivamente, promovendo melhorias na eficiência operacional aos padrões de atendimento ao paciente, otimização dos custos e faturamento, e potencializando a experiência e qualidade de todos os envolvidos. 

Hoje, atuamos no Brasil e no Canadá, sendo a nossa sede localizada em Recife, Pernambuco. Dispomos de um laboratório de desenvolvimento e testes de dispositivos médicos conectados, uma fábrica homologada para fabricação e distribuição de equipamentos Classe III de segurança pela ANVISA.


A Salvus possui duas soluções para aquisição. A solução HAI, que é voltada para melhorar a operação e a assistência do home care, e tem como foco resolver os problemas logísticos e de gestão das informações que limitam a qualidade do atendimento, impõem sérios riscos aos pacientes e dificultam o faturamento e a possibilidade de margem para as empresas. É composta por aplicativo, sistema web e um barramento de integração, e foi concebida para  proporcionar uma nova experiência no atendimento domiciliar de saúde para todo o ecossistema.
 
Nossa outra solução, o ATAS O2, é um fluxômetro digital IoT que monitora o estoque e consumo do oxigênio medicinal em cilindros e réguas hospitalares. O dispositivo é integrado a uma plataforma inteligente para o acompanhamento e vigilância direta do paciente, tornando possível e acessível as evoluções, auditorias clínicas e financeiras em tempo real, registrando de forma fidedigna as contas médicas.
 
A Salvus é feita por e para pessoas que sonham em trabalhar para contribuir na transformação do sistema de saúde. Vamos juntos?
","I.A.; ,DESENVOLVIMENTO WEB; ,DESENVOLVIMENTO MOBILE; ,ANÁLISE DE DADOS; ,compliance; ,governança; ,eficiência; ,saas; "
S4 NETWORKS,(81)3136-9190,noc@s4networks.com.br,https://s4networks.com.br/,"R PROFESSOR JOSE LEAO, 339 - SALA 04CARUARU/PE. CEP: 55012-610.",Diversos Mercados,Gestão de TI,"A S4 nasceu em 2014 com intuito de fomentar o mercado de Gestão de Redes no ambiente da Tecnologia da Informação e Comunicação. Desde o início, atuamos com simplicidade, transparência e eficiência em busca dos melhores resultados para os nossos clientes. Essa tríade de valores imprescindíveis na nossa atuação agrega também, valores ao seu negócio e mostra que é possível gerir redes de diversos tamanhos com qualidade inigualável.
Nossa empresa tem no DNA uma relação de parceria com o cliente que sobressai as relações puramente comerciais, por esse motivo estamos sempre a frente, oferecendo os melhores serviços para o sucesso da sua empresa.
E, nessa trajetória de êxito com a Gestão de Redes, seguindo nossa tríade de valores, que decidimos mais uma vez inovar e trazemos o Contact Center. Com nossa ampla experiência e os melhores feedbacks dos nossos clientes parceiros, oferecemos o serviço de Contact Center como uma proposta de atendimento de melhor qualidade, com as duas características essenciais para um bom serviço: agilidade e eficiência.
A S4 segue com a sua caminhada no mercado de Tecnologia da Informação e Comunicação, sem perder a sua essência, sempre agregando valores ao seu negócio e ampliando o seu espaço colaborativo nas regiões do Norte e Nordeste.","consultoria; ,eficiência; ,produtividade; ,telecom; ,telecomunicações; ,internet; ,conectividade; ,gestão; ,provedor de internet; ,operadora de internet; ,fibra óptica; ,banda larga; ,wifi; ,Gestão de Projetos; ,TI; "
Rope IHS,(81)99731-9486,negocios@ropehealth.com.br,http://ropehealth.com.br,"R. Dona Maria César, 170 - Sala 203ARecife/PE. CEP: 50030-140.",AgriTech,Alocação Profissionais,"Startup voltada para automatizar a comunicação hospitalar tendo impacto direto na experiência do paciente e diminuindo a carga de trabalho dos médicos e enfermeiros.
Atualmente, focamos no processo de emergência e internação, facilitando a comunicação tanto interna como externa e nos relacionando com sistemas já vigentes no hospital por meio de integrações para evitar uma mudança de cultura pesada ao profissional, além de gerarmos para o paciente um histórico médico completo com todas as operações, consultas, cirurgias e demais procedimentos, dando a você controle sobre suas informações independente de onde esteja, mantendo o médico presente ciente do que houve em outros momentos.","lgpd; ,saas; ,nuvem; ,conectividade; ,TRANSFORMAÇÃO DIGITAL; ,AUTOMAÇÃO; ,DESENVOLVIMENTO MOBILE; ,DESENVOLVIMENTO WEB; "
ROADMAPPS SOLUÇÕES,(81)98784-9668,contato@rdmapps.com.br,https://rdmapps.com.br,"Rua do Bom Jesus, 125 - 3º AndarRecife/PE. CEP: 50030-170.",Diversos Mercados,SaaS ,"Soluções criativas, eficazes e com tecnologia de ponta

Somos uma empresa criativa e tecnológica especializada em aplicações mistas (mobile e web). Nossa experiência em usabilidade, design & tecnologia ajuda nossos clientes na construção de um relacionamento interpessoal mais forte com o público através da tecnologia.","DESENVOLVIMENTO WEB; ,DESENVOLVIMENTO MOBILE; ,sistema de gestão; ,saas; ,nuvem; "
RESET TI,(81)99468-7360,adm@resetti.com.br,https://www.resetti.com.br,"AV AGAMENON MAGALHAES, 1053 - SALA 104CARUARU/PE. CEP: 55014-000.",Diversos Mercados,Infra TIC,"A empresa Reset TI, oferece a 8 anos, serviços de consultoria e manutenção de infraestrutura de TI para diversos clientes na área da saúde, comércio varejista e atacadista, além do setor da indústria e distribuição. 
Fornecemos soluções em implantação de data centers com cabeamento estruturado, virtualização de servidores, controle de usuários e computadores com active directory, banco de dados, controle de segurança para
arquivos de usuários com file server, além de configuração e manutenção em computadores e configuração de redes tanto cabeada como Wi-fi corporativo. ","Infraestrutura; ,Cabeamento estruturado; ,Servidores linux e windows; ,Virtualização ESXI; ,Firewall; ,Active Diretory; ,Backup banco de dados; ,Service desk; ,Help desk; "
REDWAY INFORMATION SECURITY,(11)3042-6881,info@redwaysecurity.com,https://redwaysecurity.com/,"AV PAULISTA, 1636 - CONJ 04 PAVMTO15SÃO PAULO/SP. CEP: 01310-200.",SecurTech,Consultoria em TIC,"A REDWAY é uma empresa de consultoria em segurança da informação, com o foco em excelência técnica, que visa contribuir para a consolidação da postura de segurança de nossos clientes.

Hoje contamos com uma equipe técnica extremamente especializada, com mais de 15 anos de experiência em projetos complexos nos mais diversos segmentos de negócio.","consultoria; ,proteção; ,lgpd; ,compliance; ,Pentest; ,Teste de Vulnerabilidade; ,Cloud Security; ,prevenção a fraudes; ,redteam; ,Segurança Ofensiva; ,Segurança Defensiva; ,MSS; ,Threat Intelligence; ,monitoramento de ativos de rede; "
RECRUTA AI,(11)98901-1158,sales@recrut.ai,https://recrut.ai/,"Rua Alfandega, 251 - Recife/PE. CEP: 50030-030.",HrTech,SaaS ,"Nossa missão é revolucionar o processo de Recrutamento & Seleção através do uso de Inteligência Artificial (AI). Somos pioneiros no Smart Recruiting no Brasil, a evolução das plataformas de seleção globais.

Já ajudamos a transformar a vida de milhares de pessoas impactadas diretamente por seleções mais humanas e processos que fazem sentido. Empresas como a Amanco Wavin, o Real Hospital Português e a AON, conseguem realmente conhecer as pessoas que estão se candidatando às oportunidades.

Nossa plataforma é a única que faz a Predição de Comportamento no ambiente de trabalho e Hunting Automatizado. Empoderamos recrutadores enquanto oferecemos a melhor experiência para a pessoa candidata, com um NPS de 92% entre os candidatos!","Inteligência Artificial; ,recrutamento e seleção ; "
RECIFE TECNOLOGIA,(81)3040-1010,comercial@recifetecnologia.com.br,https://recifetecnologia.com.br/,"PRACA ARSENAL DA MARINHA, 35 - SL 404RECIFE/PE. CEP: 50030-360.",Diversos Mercados,Gestão de TI,"Empresa Pernambucana, fundada em 2002, tem suas atividades direcionadas a suporte técnico em informática, Administração e Projetosde rede, Segurança e Tecnologia da Informação.

Atualmente a Recife Tecnologia atende pequenas, médias e grandes empresas em vários setores da economia.","TI; ,Backup banco de dados; ,suporte; ,infraestrutura em nuvem; ,monitoramento de ativos de rede; "
RECICONT,(81)99118-6620,cybelle@recicont.com.br,www.recicont.com.br,"Av. Caxangá, 205 - Recife/PE. CEP: 50820000.",FinTech,Consultoria em Negócios,"Recicont é uma empresa voltada para contabilidade e gestão financeira, bem como desenvolver soluções tecnológicas para dar suporte aos seus clientes.","Gestão financeira; ,Contabilidade; ,consultoria financeira; "
Rebi Digital,(87)99940-3494,tarcisio@rebidigital.com,rebidigital.com,"Av. da Integração, 8 - Petrolina/PE. CEP: 56320-450.",Social Business,Brand/Mkt/Mkt Digi,"Somos uma agência comprometida com o sucesso dos nossos clientes, se utilizando do Inbound Marketing, criação e gestão de sites, ecommerces, landing pages e serviços de hospedagem web.

Nosso foco é encontrar as melhores formas de apresentar o seu negócio para seu público e convertê-lo em vendas.

Ninguém conhece o seu negócio melhor que você mesmo; vocês são os experts! Nossa missão é aprender com vocês e juntos, como um time, alcançar grandes resultados!

Nossa missão é vender soluções para empreendedores expressarem o conceito do seu negócio e divulgarem os seus produtos e serviços nas mídias digitais com visual surpreendente e estratégias que funcionam, e vão além, elas os ajudam a conectarem o seu serviço a milhares de pessoas através do meio digital.
","DESENVOLVIMENTO WEB; ,lojas virtuais; ,e-commerce; ,loja virtual; ,internet; "
RAJ TECNOLOGIA,(81)99507-4969,rafael@rajtecnologia.com.br,www.rajtecnologia.com.br,"RUA DELMIRO MONTEIRO DA PURIFICAÇÃO, 564 - CASAOLINDA/PE. CEP: 53050-220.",AgriTech,Alocação Profissionais,"Fundada em 2011, a Raj Tecnologia é uma empresa genuinamente pernambucana que busca continuamente se reinventar, sempre olhando para o futuro e não esquecendo do passado. Seja pelo lançamento e inovação de novos produtos, seja pelo upgrade dos antigos. Atualmente, a RAJ é diferenciada por sua capacidade de prover soluções com rapidez, flexibilidade e melhoria contínua em seus processos e produtos e vem expandindo sua área de atuação em mais de 18 estados do Brasil com soluções de ERP, Força de vendas, Ordem de serviço, PDV, Ponto Eletrônico, Gestão de clínicas, CRM e projetos que envolvem customizações e integrações com outros softwares.","DESENVOLVIMENTO WEB; ,DESENVOLVIMENTO MOBILE; ,AGILE; ,negócios; ,vendas; ,eficiência; ,produtividade; ,real time; ,sistema de gestão; ,erp; ,cobranças; ,saas; ,nuvem; ,conectividade; ,gestão; ,Inovação Aberta; ,AUTOMAÇÃO; ,AUTOMAÇÃO COMERCIAL; "
Raid Hut,(81)98250-6011,Sheley Felix de Oliveira Barbosa de Melo,www.raidhut.com.br,"Travessa do Amorim, 66 - CxPs 276Recife/PE. CEP: 50030-070.",Entreten/Jogos,Diversas Techs/Meths,"A RaidHut é uma licenciadora de jogos baseada em Recife com foco na América Latina. Fundada em 2015, a empresa é motivada por Diversão, Inovação e Esforço, estabelecendo relações de sucesso dentre seus parceiros, times e jogadores.  Seu time é comporto por especialistas experientes no mercado MMORPG (massively multiplayer online role-playing games - jogos online de representação de papéis com múltiplos jogadores, em massa), o que nos garante as melhores oportunidades de licenciamento de Jogos para PC da América Latina.","jogos; ,games; ,jogos digitais; ,mmorpg; "
